algo,seed,evaluation,timestamp,wall_time_s,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,loss_critic,loss_actor,alpha,update_time_ms,loss_critic1,loss_critic2
SAC,448,1,1757745132.881514,5.653499624924734,5649.66837503016,4.441390488620345,0.36269046170876007,2.696171628566542,2.535203829895763,2.131556070007736,2.183942,3.57,3.95,5.51,1.0,1,inf,1.0,interaction,,,,,,
SAC,448,2,1757745138.407163,5.525583291077055,5519.436375005171,3.3240438089552637,0.35684270541145846,2.2412510371992145,1.7652304030761234,1.6435711891846512,1.528694,8.79,14.18,16.36,1.0,1,inf,1.0,interaction,,,,,,
SAC,448,3,1757745143.8711119,5.463883040938526,5459.173916024156,4.030012239424258,0.3291059189819771,1.1565050405459596,0.8853320276919486,0.6894601239138174,1.360927,19.12,32.62,53.74,1.0,1,inf,1.0,interaction,,,,,,
SAC,448,4,1757745149.356902,5.48572683299426,5481.1013750731945,5.197048555895561,0.3645767057756425,2.1148260388826907,1.8279082605899948,1.480218619175144,1.95051,4.16,5.53,8.61,0.8812209628691552,1,1.7136296070167052,0.4814861524378257,interaction,,,,,,
SAC,448,5,1757745154.8407838,5.483821333036758,5480.111500015482,4.649334915903253,0.318103059594561,1.3128344394930072,1.0858970020302507,0.7076806418613288,1.525094,10.41,15.22,35.83,0.9999999999998999,1,2.2863703929819597,0.9999999999995626,interaction,,,,,,
SAC,448,6,1757745160.459281,5.618432041956112,5613.114333013073,3.85470667220981,0.37373584076701793,2.576528273981346,2.1332785206660443,1.9393131715203715,1.754894,5.31,7.92,9.58,0.8984355712172153,1,1.2726719560864372,0.5566342006493619,interaction,,,,,,
SAC,448,7,1757745166.063358,5.6040137079544365,5599.625749979168,4.845962200693592,0.339016936740827,2.281557974491785,1.811870109918901,1.4433737385331349,1.957265,3.64,5.6,9.0,0.8135103488031535,1,0.4250467959199663,0.18590460986744162,interaction,,,,,,
SAC,448,8,1757745171.5538602,5.490438541979529,5486.45674996078,4.281083010659261,0.38578969586373246,2.1663677855115764,1.721023557760896,1.2808677202759893,1.593282,6.57,10.51,18.98,0.8859393729043192,1,1.1206746724188688,0.502083734307544,interaction,,,,,,
SAC,448,9,1757745177.4197109,5.8657565410248935,5857.628375058994,4.559727533356617,0.38769645974788036,2.1773431161772088,1.7977684355301162,1.5766366645979881,1.726635,5.73,8.57,11.15,0.823092085893665,1,0.5083094777382008,0.22773238928997877,interaction,,,,,,
SAC,448,10,1757745182.921453,5.501678999979049,5496.890333015472,4.213271306071038,0.2464317572058473,2.5134058302013393,2.1908966626701156,1.9191874451390685,2.282329,2.56,2.97,3.61,1.0,1,inf,1.0,interaction,,,,,,
