algo,seed,evaluation,timestamp,wall_time_s,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,loss_critic,loss_actor,alpha,update_time_ms,loss_critic1,loss_critic2
SAC,97,1,1757759626.929705,5.500101124984212,5495.287915924564,5.092360310661309,0.39404717038806597,1.9048381630229994,1.4963515278190975,1.2825191242076448,1.683647,6.24,10.25,13.96,1.0,1,inf,1.0,interaction,,,,,,
SAC,97,2,1757759632.4353411,5.505644083954394,5501.617208938114,3.747359080589444,0.3952670149790569,2.5459429896052557,2.307885582716608,2.126015956421038,1.719063,6.52,8.01,9.43,1.0,1,inf,1.0,interaction,,,,,,
SAC,97,3,1757759637.9227688,5.487445082981139,5483.7327499408275,3.5310001246800784,0.25977202138359407,1.719629865263931,1.5653731470683925,1.1013882595481284,1.672363,6.98,8.47,17.11,1.0,1,inf,1.0,interaction,,,,,,
SAC,97,4,1757759643.3888671,5.466113916947506,5462.468583020382,3.487032644489563,0.23216178273355922,1.1828911952423418,0.9623342858826565,0.6962737570306454,1.514067,12.14,18.35,35.05,1.0,1,inf,1.0,interaction,,,,,,
SAC,97,5,1757759648.928385,5.53953241603449,5535.8177500311285,3.3415246632053,0.3530790243786154,2.267898545992462,1.9011858275149143,1.5544423176685127,1.537003,8.32,11.84,17.72,0.9999999999999487,1,3.1303667107107627,0.9999999999996805,interaction,,,,,,
SAC,97,6,1757759654.415412,5.48703891702462,5481.355874915607,4.8521334049065885,0.2811405188942027,1.2066344545002499,0.9747833679916598,0.8057874945780935,1.675974,8.84,13.55,19.83,0.4198424984108314,2,0.0,0.0,interaction,,,,,,
SAC,97,7,1757759659.8983529,5.482957541942596,5479.089375003241,4.59350484881386,0.38818922093883823,1.601835155267743,1.1032933285250988,0.9692724354299715,1.466997,10.67,22.5,29.14,1.0,1,inf,1.0,interaction,,,,,,
SAC,97,8,1757759665.368941,5.470605292008258,5466.442542034201,3.017290513620871,0.38730893117067283,1.7144327847176093,1.5636702382365262,1.135221930195268,1.279816,21.5,25.84,48.98,1.0,1,inf,1.0,interaction,,,,,,
SAC,97,9,1757759670.842981,5.474057708051987,5470.090250018984,4.041093551944316,0.3732467642251204,1.4905743657686803,1.1917006705694186,0.8259301759266726,1.372378,14.72,23.03,47.91,0.9999999999998985,1,1.5790460513082245,0.9999999999993666,interaction,,,,,,
SAC,97,10,1757759676.333258,5.490253583993763,5481.594583019614,3.4189495387823223,0.38354246640772177,1.8169782536413357,1.3641497228385462,0.9611169794910316,1.32045,14.62,25.93,52.19,1.0,1,inf,1.0,interaction,,,,,,
