run_id,run_index,experiment,algo,seed,evaluation,timestamp,wall_time_s,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,loss_critic,loss_actor,alpha,update_time_ms,loss_critic1,loss_critic2,budget,executable_name,start_ts,end_ts
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,1,1757948601.322932,554.5550670830999,5497.147458023392,3.9363502971184063,0.3901428612819833,2.282860248025748,2.1204527918487734,1.780989398169959,1.655243,7.2,8.37,11.87,1.0,1,inf,1.0,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,2,1757948606.8259358,554.5550670830999,5487.936208024621,3.3899863008405067,0.2116167224336399,2.739483290921838,2.35625425980342,2.0158082551061365,2.327759,2.51,2.94,3.7,1.0,1,inf,1.0,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,3,1757948612.305779,554.5550670830999,5472.6022919639945,3.051461235739506,0.3939819704323989,2.314440252554889,2.1417102656720486,1.956774621400738,1.475677,11.93,13.93,16.69,1.0,1,inf,1.0,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,4,1757948617.7940102,554.5550670830999,5483.756375033408,3.4585112746335844,0.2608484485919076,1.9075934188924792,1.6911017628132625,1.418323755356416,1.773701,5.89,7.62,10.84,0.9999999999998755,1,2.4101697989486475,0.9999999999995851,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,5,1757948623.289902,554.5550670830999,5489.414333016612,4.5296322368059485,0.22789877213040838,1.540225865940923,1.2577978722541086,1.0112531349366318,2.066915,4.05,6.04,9.49,0.9953995056104235,1,1.9845465293595566,0.9846650187014117,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,6,1757948628.799238,554.5550670830999,5503.259707940742,4.962939903482534,0.23993475643167195,1.8554562598566362,1.736876094768637,1.3999102672238202,2.568831,2.89,3.14,4.48,0.35,2,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,7,1757948634.284826,554.5550670830999,5478.235916001722,4.518862129753596,0.2341048247374583,1.579647315855396,1.0933945026255725,0.6138402877242392,1.823883,4.08,8.6,27.31,1.0,1,inf,1.0,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,8,1757948639.771737,554.5550670830999,5480.262832948938,5.020993370291153,0.26092275383467417,1.320680407611875,1.0446194101160344,0.6709261995111717,1.786085,5.83,9.49,23.0,0.9393577185495392,1,1.185833520586115,0.7978590618317974,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,9,1757948645.295062,554.5550670830999,5514.781333040446,3.305095587111947,0.29903538202225405,1.2274200654231517,1.0239080727831449,0.5601799119516322,1.295442,20.84,29.94,99.94,1.0,1,inf,1.0,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,10,1757948650.792574,554.5550670830999,5492.0654580928385,4.656305710884955,0.2623422152178822,1.9027449310086917,1.7288031487984807,1.410119037061169,2.270088,3.45,4.04,6.02,0.7780886692527472,1,0.5116703837363857,0.26029556417582433,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,11,1757948656.2730901,554.5550670830999,5472.511957981624,5.4239615694113965,0.35502656467222293,2.9412140794328248,2.6020540879083907,2.1441231477373313,2.29556,2.45,2.77,3.62,1.0,1,inf,1.0,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,12,1757948661.772491,554.5550670830999,5493.264083052054,5.304685587557792,0.2176985004103839,1.1911930571030251,0.9610609247977193,0.8429700092335041,2.292695,4.46,6.95,9.08,0.35,2,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,13,1757948667.43247,554.5550670830999,5651.430083089508,3.971693224223705,0.2542698063547792,2.405365775568264,2.1929919716933117,1.9502906410158762,2.352615,2.96,3.37,4.09,0.2333333333333333,3,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,14,1757948672.947498,554.5550670830999,5508.310667006299,4.356740207895621,0.22818484499495253,2.5284197484316846,2.0336649737914776,1.9038447163195693,1.582242,2.28,2.85,3.09,1.0,1,inf,1.0,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,15,1757948678.456906,554.5550670830999,5503.599209012464,4.930611923241644,0.2397431363068345,1.3185912138872848,0.9358482763482379,0.5096637049663042,1.805416,5.09,10.35,34.89,0.35,2,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,16,1757948683.936321,554.5550670830999,5474.267209065147,4.822517920102468,0.35425406933718917,1.0193120557624191,0.8729644319523672,0.6295781405346581,1.397257,19.92,27.15,52.15,0.9509162338946648,1,2.109107907308013,0.8363874463155493,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,17,1757948689.411707,554.5550670830999,5468.12500001397,5.157758564688984,0.32465962536551163,1.4288878122928106,1.2044948836065457,1.079071543492136,1.738207,7.43,10.47,13.05,0.2333333333333333,3,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,18,1757948694.933596,554.5550670830999,5515.802250010893,3.812958305066868,0.3459212356676128,2.3594966419669334,2.0706106719021538,1.615725574871623,1.710844,5.55,7.34,12.09,0.35,2,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,19,1757948700.412367,554.5550670830999,5472.90120809339,3.2989856148457544,0.342648957444599,2.564271586089194,2.155884714107369,1.8313738350795705,1.646965,6.2,8.9,12.33,0.35,2,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
bd27b16e-4188-4fb3-96e7-bd5db1948c4d,1,default_experiment,SAC,42,20,1757948705.906807,554.5550670830999,5488.090916071087,4.234488990910977,0.30454656587639883,1.5015210036224218,1.3583644328251,1.248196782127462,1.68465,8.79,10.75,12.73,0.2333333333333333,3,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757948601.322932,1757949150.364225
